Plexall.m3u,https://rb.gy/itsd13,,,tbnall.m3u,https://rb.gy/exnba5,,,Newsall.m3u,https://rb.gy/3jipd8,,,,,,PCR1
Channel ,Channel Name,,,Channel ,Channel Name,,,Channel ,Channel Name,,,,,,https://rb.gy/euhx10
1,Plex Stream 1,,,1,Plex Stream 1,,,1,ABC 7 Bay Area and San Francisco News (KGO-DT1),,,,,,Channel ID: 46 - Channel Name: Merit Street Media
2,Plex Stream 2,,,2,Plex Stream 2,,,2,ABC 7 Los Angeles CA (KABC-TV),,,,,,Channel ID: 118 - Channel Name: CBS News
3,Plex Stream 3,,,3,Plex Stream 3,,,3,ABC 8 Portland ME (WMTW),,,,,,Channel ID: 108 - Channel Name: BBC News
4,Plex Stream 4,,,4,Plex Stream 4,,,4,ABC 9 Kansas City MO (KMBC-TV),,,,,,Channel ID: 103 - Channel Name: Newsmax2
5,Plex Stream 5,,,5,Plex Stream 5,,,5,ABC 16 Jackson MS (WAPT),,,,,,Channel ID: 120 - Channel Name: NBC News NOW
6,Plex Stream 6,,,6,Plex Stream 6,,,6,ABC 22 Savannah GA (WJCL),,,,,,Channel ID: 121 - Channel Name: Scripps News
7,Plex Stream 7,,,7,Plex Stream 7,,,7,ABC 25 West Palm Beach FL (WPBF),,,,,,Channel ID: 104 - Channel Name: America's Voice News
8,Plex Stream 8,,,8,Plex Stream 8,,,8,ABC 30 Fresno and Central Valley News (KFSN-DT1),,,,,,Channel ID: 122 - Channel Name: ABC News Live
9,Plex News Quad,,,9,Plex News Quad,,,9,ABC 40/29 Fort Smith AR (KHBS),,,,,,Channel ID: 124 - Channel Name: Fox News National
10,ABC 7 Bay Area and San Francisco News (KGO-DT1),,,10,Socal 1,,,10,ABC News,,,,,,Channel ID: 125 - Channel Name: CNN News National
11,ABC 7 Los Angeles CA (KABC-TV),,,11,Socal 2,,,11,ABC News Live 1,,,,,,Channel ID: 123 - Channel Name: MSNBC News National
12,ABC 8 Portland ME (WMTW),,,12,Socal 3,,,12,ABC News Live 2,,,,,,Channel ID: 2 - Channel Name: AccuWeather Now
13,ABC 9 Kansas City MO (KMBC-TV),,,13,Socal 4,,,13,ABC News Live 3,,,,,,Channel ID: 91 - Channel Name: Fox Weather
14,ABC 16 Jackson MS (WAPT),,,14,Socal 5,,,14,ABC News Live 4,,,,,,
15,ABC 22 Savannah GA (WJCL),,,15,Socal 6,,,15,ABC News Live 5,,,,,,
16,ABC 25 West Palm Beach FL (WPBF),,,16,Irving 1,,,16,ABC News Live 6,,,,,,
17,ABC 30 Fresno and Central Valley News (KFSN-DT1),,,17,Irving 2,,,17,ABC News Live 7,,,,,,
18,ABC 40/29 Fort Smith AR (KHBS),,,18,Irving 3,,,18,ABC News Live 8,,,,,,
19,ABC News,,,19,Irving 4,,,19,ABC News Live 9,,,,,,
20,ABC News Live 1,,,20,Nashville 1,,,20,ABC News Live 10,,,,,,
21,ABC News Live 2,,,21,Nashville 2,,,21,BBC World News,,,,,,
22,ABC News Live 3,,,22,Nashville 3,,,22,CBS 8 Des Moines IA (KCCI),,,,,,
23,ABC News Live 4,,,23,Nashville 4,,,23,CBS 32 Louisville KY (WLKY),,,,,,
24,ABC News Live 5,,,24,New York 1,,,24,CBS News Bay Area,,,,,,
25,ABC News Live 6,,,25,New York 2,,,25,CBS News Boston,,,,,,
